TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,programmaticians.com,rightxchange.com,REMARKS
com.goods.master3d.triple.puzzle,Goods Master 3D: Puzzle Games,com.goods.master3d.triple.puzzle,https://higgsgamestudio.com/app-ads.txt,True,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com,PMVDO101,DIRECT",-,
ru.DmitryLomakin.ReanimationInc,Doctor 911 Hospital Simulator,ru.DmitryLomakin.ReanimationInc,https://nucleargames.one/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
wood.block.jigsaw.puzzle.android,Wood Block Puzzle-SudokuJigsaw,wood.block.jigsaw.puzzle.android,http://simplebro.co/app-ads.txt,False,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com,PMVDO101,DIRECT",-,
com.anime.couple.avatar.maker.games,-,com.anime.couple.avatar.maker.games,-,-,-,-,App not found(404).
com.animal.drop.merge.puzzle,-,com.animal.drop.merge.puzzle,-,-,-,-,App not found(404).
com.bravestars.rainbow.friend.survivor,-,com.bravestars.rainbow.friend.survivor,-,-,-,-,App not found(404).
com.bravestars.fashion.quest.dress.up,-,com.bravestars.fashion.quest.dress.up,-,-,-,-,App not found(404).
com.bravestars.blue.monster.gun.bomb.sounds.simulator,-,com.bravestars.blue.monster.gun.bomb.sounds.simulator,-,-,-,-,App not found(404).
com.HippoKidsGame.KidsLearnProfessios3,-,com.HippoKidsGame.KidsLearnProfessios3,-,-,-,-,App not found(404).
ru.ieronio.modern.houses,-,ru.ieronio.modern.houses,-,-,-,-,App not found(404).
com.lemellabs.differences,Define - Find Difference Game,com.lemellabs.differences,https://cleverside.com/app-ads.txt,True,"programmaticians.com, PMCSE101, DIRECT; programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
com.dbSoftware.siepro,Survival Island: Survivor EVO,com.dbSoftware.siepro,https://notfoundgames.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.launcher.launcher2022,Launcher OS 2026: Fast & Clean,com.launcher.launcher2022,https://fungameglobal.com/app-ads.txt,True,"programmaticians.com,PMVDO101,DIRECT; programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
org.getlantern.lantern,"Lantern: Fast, Secure VPN",org.getlantern.lantern,https://getlantern.org/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.balloon.master.cube.match,Balloon Master 3D-Puzzle Games,com.balloon.master.cube.match,http://higgsgamestudio.com/app-ads.txt,False,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com,PMVDO101,DIRECT",-,
com.naxeex.army.toys.town,Army Toys Town,com.naxeex.army.toys.town,http://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.balloon.triple.match.master3d.game,Balloon Triple Match: Match 3D,com.balloon.triple.match.master3d.game,http://higgsgamestudio.com/app-ads.txt,False,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com,PMVDO101,DIRECT",-,
com.ns.dome.of.doom,Dome of Doom,com.ns.dome.of.doom,http://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.naxeex.rope.hero.cheatground.mod,Rope Hero: Cheatground MOD,com.naxeex.rope.hero.cheatground.mod,https://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.pixelfun.online,Vortex 9 online shooting games,com.pixelfun.online,https://gardenofdreams.games/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
obby.world,Obby World: Parkour Runner,obby.world,https://www.kidsgames.top/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.psv.hello_kitty.doctor_hospital,Hello Kitty: Kids Hospital,com.psv.hello_kitty.doctor_hospital,https://psvgamestudio.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.left.right.girl.dressup.game,Style Star: Left Right Fashion,com.left.right.girl.dressup.game,-,-,-,-,"ConnectionError HTTPSConnectionPool(host='get6mart.com', port=443): Max retries exceeded with url: /app-ads.txt (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1017)')))"
com.hippo.SupermarketForKids,Kids Supermarket: Shopping,com.hippo.SupermarketForKids,https://psvgamestudio.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.nc.robot.ball,Robot Ball,com.nc.robot.ball,https://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.rhythmdance.taptile.twocats,Two Cats - Dancing Music Games,com.rhythmdance.taptile.twocats,https://cobbygame.com/app-ads.txt,True,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com,PMVDO101,DIRECT",-,
com.PSVGameStudio.HippoFirePatrol,Fireman Hippo: City Hero,com.PSVGameStudio.HippoFirePatrol,https://psvgamestudio.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.PSVStudio.HippoRailwayStation,Hippo: Railway Station,com.PSVStudio.HippoRailwayStation,https://psvgamestudio.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.wonder.zrwtd.an,Annoys me！,com.wonder.zrwtd.an,http://nantongxiaobei.top/app-ads.txt,False,"programmaticians.com,PMVDO101,DIRECT",-,
com.GamesEZ.CarMehanic3D,Mechanic 3D My Favorite Car,com.GamesEZ.CarMehanic3D,https://psvgamestudio.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
